global_draw,segment,chosen_strategy,cumulative_profit,bankroll
20422,1,parity_fixed_odd_t10_mg5,1.0,501.0
20423,1,parity_fixed_odd_t10_mg5,1.0,501.0
20424,1,parity_fixed_odd_t10_mg5,1.0,501.0
20425,1,parity_fixed_odd_t10_mg5,1.0,501.0
20426,1,parity_fixed_odd_t10_mg5,1.0,501.0
20427,1,parity_fixed_odd_t10_mg5,1.0,501.0
20428,1,parity_fixed_odd_t10_mg5,1.0,501.0
20429,1,parity_fixed_odd_t10_mg5,1.0,501.0
20430,1,parity_fixed_odd_t10_mg5,1.0,501.0
20431,1,parity_fixed_odd_t10_mg5,1.0,501.0
20432,1,parity_fixed_odd_t10_mg5,1.0,501.0
20433,1,parity_fixed_odd_t10_mg5,1.0,501.0
20434,1,parity_fixed_odd_t10_mg5,1.0,501.0
20435,1,parity_fixed_odd_t10_mg5,1.0,501.0
20436,1,parity_fixed_odd_t10_mg5,1.0,501.0
20437,1,parity_fixed_odd_t10_mg5,1.0,501.0
20438,1,parity_fixed_odd_t10_mg5,1.0,501.0
20439,1,parity_fixed_odd_t10_mg5,1.0,501.0
20440,1,parity_fixed_odd_t10_mg5,1.0,501.0
20441,1,parity_fixed_odd_t10_mg5,1.0,501.0
20442,1,parity_fixed_odd_t10_mg5,1.0,501.0
20443,1,parity_fixed_odd_t10_mg5,1.0,501.0
20444,1,parity_fixed_odd_t10_mg5,1.0,501.0
20445,1,parity_fixed_odd_t10_mg5,1.0,501.0
20446,1,parity_fixed_odd_t10_mg5,1.0,501.0
20447,1,parity_fixed_odd_t10_mg5,1.0,501.0
20448,1,parity_fixed_odd_t10_mg5,1.0,501.0
20449,1,parity_fixed_odd_t10_mg5,1.0,501.0
20450,1,parity_fixed_odd_t10_mg5,1.0,501.0
20451,1,parity_fixed_odd_t10_mg5,1.0,501.0
20452,1,parity_fixed_odd_t10_mg5,1.0,501.0
20453,1,parity_fixed_odd_t10_mg5,1.0,501.0
20454,1,parity_fixed_odd_t10_mg5,1.0,501.0
20455,1,parity_fixed_odd_t10_mg5,1.0,501.0
20456,1,parity_fixed_odd_t10_mg5,1.0,501.0
20457,1,parity_fixed_odd_t10_mg5,1.0,501.0
20458,1,parity_fixed_odd_t10_mg5,1.0,501.0
20459,1,parity_fixed_odd_t10_mg5,1.0,501.0
20460,1,parity_fixed_odd_t10_mg5,1.0,501.0
